Elektrisk;Romoppvarming;Tappevann;Solenergi
130.126814;91.827504;33.24363579;0
123.61378;92.681959;25.62670679;0
122.110331;99.000868;22.29376379;0
122.064785;100.975943;20.36504879;0
123.420173;103.860017;23.60930079;0
129.43689;111.718325;34.66510679;0
155.136307;136.051438;59.32214479;0
198.592825;151.353088;84.70130479;0
232.166205;153.077587;76.10000879;0
248.952471;154.596556;71.51482679;0
267.576029;155.941726;71.81095979;14.43106434
307.327157;189.846196;68.72829279;33.89303362
301.086164;170.7505;66.57744579;2.874698446
295.147884;165.572518;64.83441579;0
290.638614;166.252094;67.84602779;0
290.615313;166.432223;67.54723579;0
282.993598;165.02802;73.67146579;0
263.083975;165.723324;81.30688379;0
249.018252;154.829699;79.84432079;0
239.846623;153.891851;76.88462979;0
229.284331;152.692963;74.87995879;0
192.52485;134.064119;62.87234379;0
175.33161;127.058597;57.11736579;0
144.382799;126.782543;47.74780679;0
121.70107;123.14687;33.24363579;0
114.837693;124.439996;25.62670679;0
112.93755;129.933066;22.29376379;0
112.520132;132.463436;20.36504879;0
113.629911;135.215755;23.60930079;0
119.35613;145.868452;34.66510679;0
144.942389;182.203135;59.32214479;0
188.305978;201.600693;84.70130479;0
221.819405;202.621363;76.10000879;0
238.489273;201.156162;71.51482679;0
244.27349;195.092856;71.81095979;1.503714914
243.321357;183.925549;68.72829279;13.37416305
242.970106;176.467796;66.57744579;2.245033846
240.718297;171.58256;64.83441579;0
239.454891;174.929705;67.84602779;0
243.475467;176.924376;67.54723579;0
239.51662;174.520668;73.67146579;0
222.918002;177.34165;81.30688379;0
211.815305;166.737637;79.84432079;0
205.223267;166.928353;76.88462979;0
196.845947;165.242664;74.87995879;0
183.943914;163.722879;62.87234379;0
168.595194;155.895197;57.11736579;0
149.630537;155.721785;47.74780679;0
129.772638;148.62091;33.24363579;0
123.249693;148.987375;25.62670679;0
121.69155;153.378895;22.29376379;0
121.560132;154.960027;20.36504879;0
122.883328;156.35273;23.60930079;0
128.805813;165.819262;34.66510679;0
154.543721;204.156781;59.32214479;0
198.049499;222.10589;84.70130479;0
231.680889;220.586981;76.10000879;0
248.348421;216.240022;71.51482679;0
253.51963;207.397806;71.81095979;1.688910251
251.483431;192.642861;68.72829279;0.62791134
251.079723;183.416362;66.57744579;0.006230096
249.442912;178.687382;64.83441579;0
248.79321;181.111161;67.84602779;0
251.880424;181.21743;67.54723579;0
247.000615;179.233671;73.67146579;0
229.498134;180.75524;81.30688379;0
217.604285;169.661661;79.84432079;0
210.370089;169.455628;76.88462979;0
201.456543;167.643769;74.87995879;0
188.053914;166.439821;62.87234379;0
172.178765;157.128105;57.11736579;0
152.888537;157.232858;47.74780679;0
135.362206;150.006213;33.24363579;0
128.613044;150.716016;25.62670679;0
126.83006;155.221997;22.29376379;0
126.507239;157.097198;20.36504879;0
127.653806;158.770679;23.60930079;0
133.398742;168.814729;34.66510679;0
159.05157;207.77615;59.32214479;0
202.500423;227.406991;84.70130479;0
236.091701;227.9206;76.10000879;0
252.64997;224.24062;71.51482679;0
272.394783;224.251677;71.81095979;0
309.289357;245.524303;68.72829279;0.164456236
302.69171;218.908473;66.57744579;0
296.889297;210.844678;64.83441579;0
292.682507;211.060385;67.84602779;0
292.582496;210.104532;67.54723579;0
284.785129;204.969273;73.67146579;0
264.792293;205.171832;81.30688379;0
250.743338;191.957527;79.84432079;0
241.547792;190.197236;76.88462979;0
230.912371;187.916919;74.87995879;0
194.057044;169.062331;62.87234379;0
175.470505;157.516373;57.11736579;0
144.616019;156.374717;47.74780679;0
124.608912;150.83968;33.24363579;0
117.77313;152.123481;25.62670679;0
115.91172;157.021747;22.29376379;0
115.507855;159.619937;20.36504879;0
116.6428;161.582227;23.60930079;0
122.39151;174.457475;34.66510679;0
148.073116;218.485986;59.32214479;0
191.548458;241.30392;84.70130479;0
225.186824;242.844962;76.10000879;0
241.811934;239.814044;71.51482679;0
261.139447;236.654465;71.81095979;0
299.541203;254.208575;68.72829279;0
292.931489;224.93982;66.57744579;0
288.339675;216.978776;64.83441579;0
285.675878;222.4329;67.84602779;0
286.423587;221.244515;67.54723579;0
279.41865;215.974819;73.67146579;0
260.16189;218.041458;81.30688379;0
246.736641;203.3662;79.84432079;0
238.105436;202.10607;76.88462979;0
227.950097;200.001392;74.87995879;0
191.601152;181.681131;62.87234379;0
175.555386;171.643562;57.11736579;0
