Month;Date;Hours;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø
1;01.01.2020;00 - 01;313.86;313.86;313.86;283.87;283.87;283.87
1;01.01.2020;01 - 02;313.36;313.36;313.36;280.62;280.62;280.62
1;01.01.2020;02 - 03;311.39;311.39;311.39;275.19;275.19;275.19
1;01.01.2020;03 - 04;308.53;308.53;308.53;271.44;271.44;271.44
1;01.01.2020;04 - 05;303.01;303.01;303.01;271.64;271.64;271.64
1;01.01.2020;05 - 06;298.57;298.57;298.57;261.88;261.88;261.88
1;01.01.2020;06 - 07;297.58;297.58;297.58;254.77;254.77;254.77
1;01.01.2020;07 - 08;297.29;297.29;297.29;247.28;247.28;247.28
1;01.01.2020;08 - 09;300.74;300.74;300.74;253;253;253
1;01.01.2020;09 - 10;301.72;301.72;301.72;257.93;257.93;257.93
1;01.01.2020;10 - 11;298.57;298.57;298.57;264.05;264.05;264.05
1;01.01.2020;11 - 12;299.26;299.26;299.26;270.26;270.26;270.26
1;01.01.2020;12 - 13;301.72;301.72;301.72;276.97;276.97;276.97
1;01.01.2020;13 - 14;299.65;299.65;299.65;282.98;282.98;282.98
1;01.01.2020;14 - 15;301.82;301.82;301.82;289.69;289.69;289.69
1;01.01.2020;15 - 16;306.66;306.66;306.66;295.61;295.61;295.61
1;01.01.2020;16 - 17;311;311;311;300.44;300.44;300.44
1;01.01.2020;17 - 18;313.46;313.46;313.46;299.75;299.75;299.75
1;01.01.2020;18 - 19;312.08;312.08;312.08;296.5;296.5;296.5
1;01.01.2020;19 - 20;310.11;310.11;310.11;289.79;289.79;289.79
1;01.01.2020;20 - 21;309.22;309.22;309.22;272.73;272.73;272.73
1;01.01.2020;21 - 22;306.46;306.46;306.46;269.57;269.57;269.57
1;01.01.2020;22 - 23;305.37;305.37;305.37;255.27;255.27;255.27
1;01.01.2020;23 - 00;301.92;301.92;301.92;244.71;244.71;244.71
1;02.01.2020;00 - 01;302.35;302.35;302.35;118.56;118.56;118.56
1;02.01.2020;01 - 02;300.97;300.97;300.97;128.97;128.97;128.97
1;02.01.2020;02 - 03;298.91;298.91;298.91;187.32;187.32;187.32
1;02.01.2020;03 - 04;293.11;293.11;293.11;207.46;207.46;207.46
1;02.01.2020;04 - 05;293.7;293.7;293.7;238.6;238.6;238.6
1;02.01.2020;05 - 06;299.01;299.01;299.01;258.04;258.04;258.04
1;02.01.2020;06 - 07;311.19;311.19;311.19;272.48;272.48;272.48
1;02.01.2020;07 - 08;312.27;312.27;312.27;278.87;278.87;278.87
1;02.01.2020;08 - 09;312.66;312.66;312.66;288.5;288.5;288.5
1;02.01.2020;09 - 10;311.78;311.78;311.78;294.19;294.19;294.19
1;02.01.2020;10 - 11;310.7;310.7;310.7;293.8;293.8;293.8
1;02.01.2020;11 - 12;307.65;307.65;307.65;294.29;294.29;294.29
1;02.01.2020;12 - 13;305.19;305.19;305.19;294.09;294.09;294.09
1;02.01.2020;13 - 14;305.1;305.1;305.1;294.09;294.09;294.09
1;02.01.2020;14 - 15;305.19;305.19;305.19;296.45;296.45;296.45
1;02.01.2020;15 - 16;307.06;307.06;307.06;304.11;304.11;304.11
1;02.01.2020;16 - 17;308.53;308.53;308.53;306.47;306.47;306.47
1;02.01.2020;17 - 18;308.44;308.44;308.44;304.31;304.31;304.31
1;02.01.2020;18 - 19;305.49;305.49;305.49;298.12;298.12;298.12
1;02.01.2020;19 - 20;302.05;302.05;302.05;287.51;287.51;287.51
1;02.01.2020;20 - 21;299.3;299.3;299.3;276.71;276.71;276.71
1;02.01.2020;21 - 22;295.67;295.67;295.67;275.23;275.23;275.23
1;02.01.2020;22 - 23;291.84;291.84;291.84;271.99;271.99;271.99
1;02.01.2020;23 - 00;278.18;278.18;278.18;239.58;239.58;239.58
1;03.01.2020;00 - 01;279.32;279.32;279.32;186.51;186.51;186.51
1;03.01.2020;01 - 02;278.33;278.33;278.33;98.33;98.33;98.33
1;03.01.2020;02 - 03;278.23;278.23;278.23;15.07;15.07;15.07
1;03.01.2020;03 - 04;273.11;273.11;273.11;10.25;10.25;10.25
1;03.01.2020;04 - 05;273.01;273.01;273.01;10.44;10.44;10.44
1;03.01.2020;05 - 06;276.75;276.75;276.75;97.74;97.74;97.74
1;03.01.2020;06 - 07;283.55;283.55;283.55;241.19;241.19;241.19
1;03.01.2020;07 - 08;283.95;283.95;283.95;262.86;262.86;262.86
1;03.01.2020;08 - 09;288.28;288.28;288.28;277.05;277.05;277.05
1;03.01.2020;09 - 10;292.22;292.22;292.22;281.58;281.58;281.58
1;03.01.2020;10 - 11;294.78;294.78;294.78;277.44;277.44;277.44
1;03.01.2020;11 - 12;299.12;299.12;299.12;283.55;283.55;283.55
1;03.01.2020;12 - 13;299.41;299.41;299.41;278.92;278.92;278.92
1;03.01.2020;13 - 14;297.94;297.94;297.94;280.2;280.2;280.2
1;03.01.2020;14 - 15;297.44;297.44;297.44;285.33;285.33;285.33
1;03.01.2020;15 - 16;299.51;299.51;299.51;294.19;294.19;294.19
1;03.01.2020;16 - 17;300.3;300.3;300.3;297.05;297.05;297.05
1;03.01.2020;17 - 18;299.91;299.91;299.91;296.26;296.26;296.26
1;03.01.2020;18 - 19;297.15;297.15;297.15;291.04;291.04;291.04
1;03.01.2020;19 - 20;293.11;293.11;293.11;286.8;286.8;286.8
1;03.01.2020;20 - 21;285.52;285.52;285.52;274.98;274.98;274.98
1;03.01.2020;21 - 22;278.43;278.43;278.43;266.31;266.31;266.31
1;03.01.2020;22 - 23;277.54;277.54;277.54;253.21;253.21;253.21
1;03.01.2020;23 - 00;279.41;279.41;279.41;217.15;217.15;217.15
1;04.01.2020;00 - 01;282.19;282.19;282.19;213.88;213.88;213.88
1;04.01.2020;01 - 02;282.09;282.09;282.09;201.18;201.18;201.18
1;04.01.2020;02 - 03;281.6;281.6;281.6;198.43;198.43;198.43
1;04.01.2020;03 - 04;275.01;275.01;275.01;193.11;193.11;193.11
1;04.01.2020;04 - 05;271.36;271.36;271.36;187.31;187.31;187.31
1;04.01.2020;05 - 06;270.38;270.38;270.38;186.03;186.03;186.03
1;04.01.2020;06 - 07;273.23;273.23;273.23;194.29;194.29;194.29
1;04.01.2020;07 - 08;276.48;276.48;276.48;212.11;212.11;212.11
1;04.01.2020;08 - 09;281.21;281.21;281.21;219.89;219.89;219.89
1;04.01.2020;09 - 10;282.58;282.58;282.58;238;238;238
1;04.01.2020;10 - 11;283.67;283.67;283.67;245.48;245.48;245.48
1;04.01.2020;11 - 12;283.86;283.86;283.86;247.15;247.15;247.15
1;04.01.2020;12 - 13;283.37;283.37;283.37;245.48;245.48;245.48
1;04.01.2020;13 - 14;283.08;283.08;283.08;245.58;245.58;245.58
1;04.01.2020;14 - 15;283.37;283.37;283.37;248.53;248.53;248.53
1;04.01.2020;15 - 16;284.45;284.45;284.45;259.16;259.16;259.16
1;04.01.2020;16 - 17;285.54;285.54;285.54;269.3;269.3;269.3
1;04.01.2020;17 - 18;286.03;286.03;286.03;284.26;284.26;284.26
1;04.01.2020;18 - 19;291.15;291.15;291.15;291.15;291.15;286.32
1;04.01.2020;19 - 20;291.15;291.15;291.15;289.57;289.57;285.54
1;04.01.2020;20 - 21;294.89;294.89;294.89;272.74;272.74;272.74
1;04.01.2020;21 - 22;295.77;295.77;295.77;269.69;269.69;269.69
1;04.01.2020;22 - 23;296.17;296.17;296.17;269.39;269.39;269.39
1;04.01.2020;23 - 00;303.45;303.45;303.45;253.65;253.65;253.65
1;05.01.2020;00 - 01;316.04;316.04;316.04;262.88;262.88;262.88
1;05.01.2020;01 - 02;308.25;308.25;308.25;267.61;267.61;267.61
1;05.01.2020;02 - 03;305.39;305.39;305.39;267.41;267.41;267.41
1;05.01.2020;03 - 04;298.29;298.29;298.29;270.47;270.47;270.47
1;05.01.2020;04 - 05;295.53;295.53;295.53;276.78;276.78;274.61
1;05.01.2020;05 - 06;294.83;294.83;294.83;284.58;284.58;275.01
1;05.01.2020;06 - 07;299.67;299.67;299.67;288.62;288.62;275.6
1;05.01.2020;07 - 08;299.27;299.27;299.27;295.72;295.72;275.6
1;05.01.2020;08 - 09;306.38;306.38;306.38;306.38;306.38;275.99
1;05.01.2020;09 - 10;307.56;307.56;307.56;307.56;307.56;285.37
1;05.01.2020;10 - 11;311.7;311.7;311.7;311.7;311.7;291.09
1;05.01.2020;11 - 12;311.21;311.21;311.21;311.21;311.21;291.88
1;05.01.2020;12 - 13;307.95;307.95;307.95;307.95;307.95;293.45
1;05.01.2020;13 - 14;305.09;305.09;305.09;305.09;305.09;294.54
1;05.01.2020;14 - 15;302.53;302.53;302.53;302.53;302.53;295.13
1;05.01.2020;15 - 16;303.71;303.71;303.71;303.71;303.71;295.82
1;05.01.2020;16 - 17;307.36;307.36;307.36;307.36;307.36;295.43
1;05.01.2020;17 - 18;311.01;311.01;311.01;311.01;311.01;295.13
1;05.01.2020;18 - 19;306.77;306.77;306.77;306.77;306.77;293.55
1;05.01.2020;19 - 20;300.06;300.06;300.06;300.06;300.06;293.26
1;05.01.2020;20 - 21;294.64;294.64;294.64;294.64;294.64;293.95
1;05.01.2020;21 - 22;292.07;292.07;292.07;288.42;288.42;288.42
1;05.01.2020;22 - 23;290.59;290.59;290.59;277.77;277.77;277.77
1;05.01.2020;23 - 00;291.19;291.19;291.19;263.17;263.17;263.17
1;06.01.2020;00 - 01;287.63;287.63;287.63;260.61;260.61;260.61
1;06.01.2020;01 - 02;286.75;286.75;286.75;261.4;261.4;261.4
1;06.01.2020;02 - 03;286.85;286.85;286.85;266.43;266.43;266.43
1;06.01.2020;03 - 04;282.7;282.7;282.7;266.92;266.92;266.92
1;06.01.2020;04 - 05;286.85;286.85;286.85;266.62;266.62;266.62
1;06.01.2020;05 - 06;292.47;292.47;292.47;272.44;272.44;272.44
1;06.01.2020;06 - 07;302.92;302.92;302.92;277.77;277.77;277.77
1;06.01.2020;07 - 08;304.99;304.99;304.99;286.85;286.85;286.85
1;06.01.2020;08 - 09;304.8;304.8;304.8;293.26;293.26;293.26
1;06.01.2020;09 - 10;304.6;304.6;304.6;301.05;301.05;301.05
1;06.01.2020;10 - 11;306.97;306.97;306.97;306.97;306.97;306.97
1;06.01.2020;11 - 12;308.05;308.05;308.05;308.05;308.05;308.05
1;06.01.2020;12 - 13;307.66;307.66;307.66;307.66;307.66;307.66
1;06.01.2020;13 - 14;306.57;306.57;306.57;306.57;306.57;306.57
1;06.01.2020;14 - 15;307.86;307.86;307.86;307.86;307.86;307.86
1;06.01.2020;15 - 16;308.74;308.74;308.74;308.74;308.74;308.74
1;06.01.2020;16 - 17;313.28;313.28;313.28;313.28;313.28;313.28
1;06.01.2020;17 - 18;313.08;313.08;313.08;313.08;313.08;313.08
1;06.01.2020;18 - 19;308.84;308.84;308.84;308.84;308.84;308.84
1;06.01.2020;19 - 20;305.29;305.29;305.29;305.29;305.29;305.29
1;06.01.2020;20 - 21;301.64;301.64;301.64;301.64;301.64;301.64
1;06.01.2020;21 - 22;298.68;298.68;298.68;298.68;298.68;298.68
1;06.01.2020;22 - 23;290.59;290.59;290.59;290.59;290.59;290.59
1;06.01.2020;23 - 00;286.75;286.75;286.75;278.07;278.07;278.07
1;07.01.2020;00 - 01;278.61;278.61;278.61;267.58;267.58;267.58
1;07.01.2020;01 - 02;279.2;279.2;279.2;266.79;266.79;266.79
1;07.01.2020;02 - 03;280.48;280.48;280.48;266.2;266.2;266.2
1;07.01.2020;03 - 04;276.94;276.94;276.94;265.8;265.8;265.8
1;07.01.2020;04 - 05;282.75;282.75;282.75;267.77;267.77;267.77
1;07.01.2020;05 - 06;290.24;290.24;290.24;277.13;277.13;277.13
1;07.01.2020;06 - 07;295.16;295.16;295.16;277.92;277.92;277.92
1;07.01.2020;07 - 08;305.01;305.01;305.01;291.12;291.12;291.12
1;07.01.2020;08 - 09;306.89;306.89;306.89;293.39;293.39;293.39
1;07.01.2020;09 - 10;304.92;304.92;304.92;293.88;293.88;293.88
1;07.01.2020;10 - 11;302.45;302.45;302.45;294.77;294.77;294.77
1;07.01.2020;11 - 12;301.17;301.17;301.17;295.16;295.16;295.16
1;07.01.2020;12 - 13;300.29;300.29;300.29;297.03;297.03;297.03
1;07.01.2020;13 - 14;300.38;300.38;300.38;299.1;299.1;299.1
1;07.01.2020;14 - 15;300.48;300.48;300.48;298.81;298.81;298.81
1;07.01.2020;15 - 16;303.83;303.83;303.83;295.26;295.26;295.26
1;07.01.2020;16 - 17;302.55;302.55;302.55;294.57;294.57;294.57
1;07.01.2020;17 - 18;300.88;300.88;300.88;293.09;293.09;293.09
1;07.01.2020;18 - 19;297.33;297.33;297.33;293.59;293.59;293.59
1;07.01.2020;19 - 20;290.24;290.24;290.24;290.24;290.24;290.24
1;07.01.2020;20 - 21;282.06;282.06;282.06;282.06;282.06;282.06
1;07.01.2020;21 - 22;275.66;275.66;275.66;275.66;275.66;275.66
1;07.01.2020;22 - 23;270.04;270.04;270.04;265.31;265.31;265.31
1;07.01.2020;23 - 00;272.01;272.01;272.01;238.51;238.51;238.51
1;08.01.2020;00 - 01;240.77;240.77;240.77;189.88;189.88;189.88
1;08.01.2020;01 - 02;244.31;244.31;244.31;183.38;183.38;183.38
1;08.01.2020;02 - 03;221.48;221.48;221.48;166.55;166.55;166.55
1;08.01.2020;03 - 04;201;201;201;152.77;152.77;152.77
1;08.01.2020;04 - 05;196.97;196.97;196.97;152.77;152.77;152.77
1;08.01.2020;05 - 06;226.4;226.4;226.4;204.15;204.15;204.15
1;08.01.2020;06 - 07;257.9;257.9;257.9;251.7;251.7;251.7
1;08.01.2020;07 - 08;265.67;265.67;265.67;265.67;265.67;265.67
1;08.01.2020;08 - 09;269.12;269.12;269.12;269.12;269.12;269.12
1;08.01.2020;09 - 10;274.83;274.83;274.83;268.13;268.13;268.13
1;08.01.2020;10 - 11;275.91;275.91;275.91;268.23;268.23;268.23
1;08.01.2020;11 - 12;275.81;275.81;275.81;268.43;268.43;268.43
1;08.01.2020;12 - 13;275.62;275.62;275.62;268.63;268.63;268.63
1;08.01.2020;13 - 14;275.42;275.42;275.42;269.51;269.51;269.51
1;08.01.2020;14 - 15;276.21;276.21;276.21;272.17;272.17;272.17
1;08.01.2020;15 - 16;279.95;279.95;279.95;274.14;274.14;274.14
1;08.01.2020;16 - 17;284.28;284.28;284.28;273.84;273.84;273.84
1;08.01.2020;17 - 18;285.66;285.66;285.66;271.87;271.87;271.87
1;08.01.2020;18 - 19;284.97;284.97;284.97;271.97;271.97;271.97
1;08.01.2020;19 - 20;282.7;282.7;282.7;272.07;272.07;272.07
1;08.01.2020;20 - 21;281.52;281.52;281.52;269.02;269.02;269.02
1;08.01.2020;21 - 22;280.64;280.64;280.64;266.36;266.36;266.36
1;08.01.2020;22 - 23;277.29;277.29;277.29;258.59;258.59;258.59
1;08.01.2020;23 - 00;274.93;274.93;274.93;239.1;239.1;239.1
1;09.01.2020;00 - 01;248.53;248.53;248.53;211.17;211.17;211.17
1;09.01.2020;01 - 02;249.81;249.81;249.81;202.69;202.69;202.69
1;09.01.2020;02 - 03;252.87;252.87;252.87;196.97;196.97;196.97
1;09.01.2020;03 - 04;253.56;253.56;253.56;207.82;207.82;207.82
