Month;Date;Hours;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø
1;01.01.2019;00 - 01;485.19;485.19;485.19;451.26;451.26;451.26
1;01.01.2019;01 - 02;489.96;489.96;489.96;450.77;450.77;450.77
1;01.01.2019;02 - 03;489.17;489.17;489.17;451.36;451.36;451.36
1;01.01.2019;03 - 04;481.21;481.21;481.21;449.77;449.77;449.77
1;01.01.2019;04 - 05;469.47;469.47;469.47;446.69;446.69;446.69
1;01.01.2019;05 - 06;471.26;471.26;471.26;449.27;449.27;449.27
1;01.01.2019;06 - 07;479.12;479.12;479.12;459.32;459.32;459.32
1;01.01.2019;07 - 08;488.37;488.37;488.37;458.63;458.63;458.63
1;01.01.2019;08 - 09;473.85;473.85;473.85;455.14;455.14;455.14
1;01.01.2019;09 - 10;477.43;477.43;477.43;457.73;457.73;457.73
1;01.01.2019;10 - 11;489.47;489.47;489.47;466.78;466.78;466.78
1;01.01.2019;11 - 12;491.36;491.36;491.36;471.16;471.16;471.16
1;01.01.2019;12 - 13;489.47;489.47;489.47;473.05;473.05;473.05
1;01.01.2019;13 - 14;488.77;488.77;488.77;474.64;474.64;474.64
1;01.01.2019;14 - 15;480.81;480.81;480.81;475.54;475.54;475.54
1;01.01.2019;15 - 16;482;482;482;478.32;478.32;478.32
1;01.01.2019;16 - 17;487.28;487.28;487.28;478.82;478.82;478.82
1;01.01.2019;17 - 18;491.95;491.95;491.95;479.02;479.02;479.02
1;01.01.2019;18 - 19;486.38;486.38;486.38;478.03;478.03;478.03
1;01.01.2019;19 - 20;486.58;486.58;486.58;475.14;475.14;475.14
1;01.01.2019;20 - 21;490.56;490.56;490.56;474.24;474.24;474.24
1;01.01.2019;21 - 22;488.47;488.47;488.47;473.25;473.25;473.25
1;01.01.2019;22 - 23;491.65;491.65;491.65;472.35;472.35;472.35
1;01.01.2019;23 - 00;488.67;488.67;488.67;469.67;469.67;469.67
1;02.01.2019;00 - 01;487.97;487.97;487.97;467.42;467.42;467.42
1;02.01.2019;01 - 02;477.85;477.85;477.85;468.02;468.02;468.02
1;02.01.2019;02 - 03;477.85;477.85;477.85;466.23;466.23;466.23
