;Elspesifikt behov;Romoppvarmingsbehov;Tappevannsbehov;Termisk behov;Solenergi;S1 - Fjernvarmedekning;S1 - Spisslast;S1 - Totalt elektrisk behov;S1 - Totalt elektrisk behov med solproduksjon;S2 - Grunnvarmedekning;S2 - Spisslast;S2 - Kompressor;S2 - Levert energi fra brønner;S2 - Totalt elektrisk;S2 - Totalt elektrisk med solproduksjon;S3 - Grunnvarmedekning;S3 - Spisslast;S3 - Kompressor;S3 - Levert fra brønner;S3 - Totalt elektrisk;S3 - Totalt elektrisk med solproduksjon
0;130.126814;91.827504;33.24363579;125.07113979;0.0;125.07113979;0.0;130.126814;130.126814;125.07113979;0.0;35.734611368571436;89.33652842142857;165.86142536857142;165.86142536857142;91.827504;0.0;26.23642971428572;65.59107428571428;156.36324371428572;156.36324371428572
1;123.61378;92.681959;25.62670679;118.30866579;0.0;118.30866579;0.0;123.61378;123.61378;118.30866579;0.0;33.80247594000001;84.50618985;157.41625594;157.41625594;92.681959;0.0;26.480559714285718;66.20139928571429;150.09433971428572;150.09433971428572
2;122.110331;99.000868;22.29376379;121.29463179;0.0;121.29463179;0.0;122.110331;122.110331;121.29463179;0.0;34.65560908285714;86.63902270714286;156.76594008285713;156.76594008285713;99.000868;0.0;28.285962285714277;70.71490571428572;150.39629328571428;150.39629328571428
3;122.064785;100.975943;20.36504879;121.34099179;0.0;121.34099179;0.0;122.064785;122.064785;121.34099179;0.0;34.668854797142856;86.67213699285715;156.73363979714287;156.73363979714287;100.975943;0.0;28.850269428571437;72.12567357142856;150.91505442857144;150.91505442857144
4;123.420173;103.860017;23.60930079;127.46931778999999;0.0;127.46931778999999;0.0;123.420173;123.420173;127.46931778999999;0.0;36.41980508285714;91.04951270714285;159.83997808285716;159.83997808285716;103.860017;0.0;29.67429057142857;74.18572642857143;153.09446357142858;153.09446357142858
5;129.43689;111.718325;34.66510679;146.38343179;0.0;146.38343179;0.0;129.43689;129.43689;146.38343179;0.0;41.82383765428571;104.55959413571429;171.26072765428572;171.26072765428572;111.718325;0.0;31.91952142857143;79.79880357142856;161.35641142857145;161.35641142857145
6;155.136307;136.051438;59.32214479;195.37358279;0.0;195.37358279;0.0;155.136307;155.136307;195.37358279;0.0;55.82102365428571;139.5525591357143;210.9573306542857;210.9573306542857;127.06650766333078;8.984930336669208;36.30471647523737;90.76179118809341;191.44102347523736;191.44102347523736
7;198.592825;151.353088;84.70130479;236.05439279;0.0;236.05439279;0.0;198.592825;198.592825;236.05439279;0.0;67.44411222571429;168.61028056428572;266.03693722571427;266.03693722571427;127.06650766333078;24.286580336669232;36.30471647523737;90.76179118809341;234.89754147523738;234.89754147523738
8;232.166205;153.077587;76.10000879;229.17759579;0.0;229.17759579;0.0;232.166205;232.166205;229.17759579;0.0;65.47931308285715;163.69828270714285;297.64551808285717;297.64551808285717;127.06650766333078;26.011079336669212;36.30471647523737;90.76179118809341;268.47092147523733;268.47092147523733
9;248.952471;154.596556;71.51482679;226.11138279;0.0;226.11138279;0.0;248.952471;248.952471;226.11138279;0.0;64.6032522257143;161.5081305642857;313.5557232257143;313.5557232257143;127.06650766333078;27.53004833666921;36.30471647523737;90.76179118809341;285.2571874752374;285.2571874752374
